"transect_pair","cover_type","mean_No","mean_Yes","median_No","median_Yes","min_No","min_Yes","max_No","max_Yes","mean_diff","median_diff"
1,"blue",0,8.90739842431745,0,8.90739842431745,0,8.90739842431745,0,8.90739842431745,8.90739842431745,8.90739842431745
1,"build_per",15.7466332823721,12.3494065441027,15.7466332823721,12.3494065441027,15.7466332823721,12.3494065441027,15.7466332823721,12.3494065441027,-3.39722673826942,-3.39722673826942
1,"garden_other",18.7267471442141,10.0079438332295,18.7267471442141,10.0079438332295,18.7267471442141,10.0079438332295,18.7267471442141,10.0079438332295,-8.71880331098457,-8.71880331098457
1,"grass",22.0220205453663,17.3093493047115,22.0220205453663,17.3093493047115,22.0220205453663,17.3093493047115,22.0220205453663,17.3093493047115,-4.71267124065481,-4.71267124065481
1,"imper_per",18.5465247417489,20.3163789758641,18.5465247417489,20.3163789758641,18.5465247417489,20.3163789758641,18.5465247417489,20.3163789758641,1.76985423411528,1.76985423411528
1,"road_per",12.9667397987381,8.5239939418278,12.9667397987381,8.5239939418278,12.9667397987381,8.5239939418278,12.9667397987381,8.5239939418278,-4.44274585691031,-4.44274585691031
1,"tree_per",11.9913344082844,22.5855284915741,11.9913344082844,22.5855284915741,11.9913344082844,22.5855284915741,11.9913344082844,22.5855284915741,10.5941940832897,10.5941940832897
2,"blue",0,24.9554480373338,0,24.9554480373338,0,24.9554480373338,0,24.9554480373338,24.9554480373338,24.9554480373338
2,"build_per",8.84320139821603,5.74691415759963,8.84320139821603,5.74691415759963,8.84320139821603,5.74691415759963,8.84320139821603,5.74691415759963,-3.0962872406164,-3.0962872406164
2,"garden_other",30.1555973897555,15.5073514194597,30.1555973897555,15.5073514194597,30.1555973897555,15.5073514194597,30.1555973897555,15.5073514194597,-14.6482459702958,-14.6482459702958
2,"grass",30.7766678641661,25.1552349445022,30.7766678641661,25.1552349445022,30.7766678641661,25.1552349445022,30.7766678641661,25.1552349445022,-5.62143291966388,-5.62143291966388
2,"imper_per",6.92149408415682,3.33675423491405,6.92149408415682,3.33675423491405,6.92149408415682,3.33675423491405,6.92149408415682,3.33675423491405,-3.58473984924277,-3.58473984924277
2,"road_per",5.79119307312555,5.30415443245257,5.79119307312555,5.30415443245257,5.79119307312555,5.30415443245257,5.79119307312555,5.30415443245257,-0.487038640672973,-0.487038640672973
2,"tree_per",17.5093068013911,19.9955847901698,17.5093068013911,19.9955847901698,17.5093068013911,19.9955847901698,17.5093068013911,19.9955847901698,2.48627798877875,2.48627798877875
3,"blue",0,45.9058050038023,0,45.9058050038023,0,45.9058050038023,0,45.9058050038023,45.9058050038023,45.9058050038023
3,"build_per",6.57327000080523,4.79958221498321,6.57327000080523,4.79958221498321,6.57327000080523,4.79958221498321,6.57327000080523,4.79958221498321,-1.77368778582202,-1.77368778582202
3,"garden_other",29.693092611978,0,29.693092611978,0,29.693092611978,0,29.693092611978,0,-29.693092611978,-29.693092611978
3,"grass",19.8105080743527,5.40270037581652,19.8105080743527,5.40270037581652,19.8105080743527,5.40270037581652,19.8105080743527,5.40270037581652,-14.4078076985361,-14.4078076985361
3,"imper_per",10.0704002098188,18.1437747120606,10.0704002098188,18.1437747120606,10.0704002098188,18.1437747120606,10.0704002098188,18.1437747120606,8.0733745022418,8.0733745022418
3,"road_per",11.9797301317382,8.65449882561708,11.9797301317382,8.65449882561708,11.9797301317382,8.65449882561708,11.9797301317382,8.65449882561708,-3.32523130612113,-3.32523130612113
3,"tree_per",21.8729986624573,17.093639511577,21.8729986624573,17.093639511577,21.8729986624573,17.093639511577,21.8729986624573,17.093639511577,-4.77935915088031,-4.77935915088031
4,"blue",0.759580957677147,6.46009704958828,0.759580957677147,6.46009704958828,0.759580957677147,6.46009704958828,0.759580957677147,6.46009704958828,5.70051609191114,5.70051609191114
4,"build_per",14.3337093222317,5.10151946509432,14.3337093222317,5.10151946509432,14.3337093222317,5.10151946509432,14.3337093222317,5.10151946509432,-9.23218985713737,-9.23218985713737
4,"garden_other",11.2814136303692,5.62604719889731,11.2814136303692,5.62604719889731,11.2814136303692,5.62604719889731,11.2814136303692,5.62604719889731,-5.65536643147192,-5.65536643147192
4,"grass",23.5996793727966,26.0651013979604,23.5996793727966,26.0651013979604,23.5996793727966,26.0651013979604,23.5996793727966,26.0651013979604,2.4654220251638,2.4654220251638
4,"imper_per",27.0759268959353,6.59203540551814,27.0759268959353,6.59203540551814,27.0759268959353,6.59203540551814,27.0759268959353,6.59203540551814,-20.4838914904172,-20.4838914904172
4,"road_per",7.16421118636788,6.41110038582597,7.16421118636788,6.41110038582597,7.16421118636788,6.41110038582597,7.16421118636788,6.41110038582597,-0.75311080054191,-0.75311080054191
4,"tree_per",15.7854790614647,43.7323107628008,15.7854790614647,43.7323107628008,15.7854790614647,43.7323107628008,15.7854790614647,43.7323107628008,27.9468317013361,27.9468317013361
5,"blue",0,9.19023653653017,0,9.19023653653017,0,9.19023653653017,0,9.19023653653017,9.19023653653017,9.19023653653017
5,"build_per",4.36771003033953,0.158689859332133,4.36771003033953,0.158689859332133,4.36771003033953,0.158689859332133,4.36771003033953,0.158689859332133,-4.2090201710074,-4.2090201710074
5,"garden_other",7.48631330654075,10.2894067847691,7.48631330654075,10.2894067847691,7.48631330654075,10.2894067847691,7.48631330654075,10.2894067847691,2.80309347822839,2.80309347822839
5,"grass",55.4594169295123,26.3391682625512,55.4594169295123,26.3391682625512,55.4594169295123,26.3391682625512,55.4594169295123,26.3391682625512,-29.1202486669611,-29.1202486669611
